id	nom	nuits	nuits_etr	part_etr
1	Ain	1202	278	23.1281198
2	Aisne	507	115	22.68244576
3	Allier	767	80	10.43024772
4	Alpes-de-Haute-Provence	674	156	23.14540059
5	Hautes-Alpes	920	151	16.41304348
6	Alpes-Maritimes	8682	4786	55.12554711
7	Ardèche	517	105	20.30947776
8	Ardennes	324	69	21.2962963
9	Ariège	235	30	12.76595745
10	Aube	701	174	24.82168331
11	Aude	1009	309	30.62438057
12	Aveyron	739	94	12.71989175
13	Bouches-du-Rhône	5629	1714	30.44945816
14	Calvados	3132	928	29.62962963
15	Cantal	465	47	10.10752688
16	Charente	427	56	13.1147541
17	Charente-Maritime	2146	258	12.02236719
18	Cher	617	114	18.47649919
19	Corrèze	487	52	10.67761807
20	Côte-d'Or	2355	1002	42.5477707
21	Côtes-d'Armor	1046	145	13.8623327
22	Creuse	128	15	11.71875
23	Dordogne	1037	276	26.61523626
24	Doubs	945	162	17.14285714
25	Drôme	1100	222	20.18181818
26	Eure	592	100	16.89189189
27	Eure-et-Loir	612	136	22.22222222
28	Finistère	1695	297	17.52212389
30	Haute-Corse	1222	405	33.14238953
31	Gard	1357	338	24.90788504
32	Haute-Garonne	2766	704	25.45191612
33	Gers	240	25	10.41666667
34	Gironde	3770	722	19.15119363
35	Hérault	3167	587	18.53489106
36	Ille-et-Vilaine	2709	471	17.38648948
37	Indre	397	54	13.60201511
38	Indre-et-Loire	1707	551	32.27885179
39	Isère	2338	527	22.54063302
40	Jura	509	83	16.3064833
41	Landes	1057	111	10.50141911
42	Loir-et-Cher	883	213	24.12231031
43	Loire	746	115	15.4155496
44	Haute-Loire	311	39	12.54019293
45	Loire-Atlantique	2824	291	10.30453258
46	Loiret	1314	263	20.0152207
47	Lot	535	110	20.56074766
48	Lot-et-Garonne	383	53	13.8381201
49	Lozère	373	49	13.13672922
50	Maine-et-Loire	1144	139	12.15034965
51	Manche	1168	347	29.70890411
52	Marne	1617	517	31.97278912
53	Haute-Marne	362	85	23.48066298
54	Mayenne	285	25	8.771929825
55	Meurthe-et-Moselle	1022	212	20.74363992
56	Meuse	245	43	17.55102041
57	Morbihan	1684	242	14.37054632
58	Moselle	1575	346	21.96825397
59	Nièvre	425	94	22.11764706
60	Nord	3656	811	22.18271335
61	Oise	1172	188	16.04095563
62	Orne	377	66	17.5066313
63	Pas-de-Calais	2474	879	35.52950687
64	Puy-de-Dôme	1816	206	11.34361233
65	Pyrénées-Atlantiques	2592	498	19.21296296
66	Hautes-Pyrénées	2867	1406	49.04080921
67	Pyrénées-Orientales	1463	225	15.37935748
68	Bas-Rhin	3865	1601	41.42302717
69	Haut-Rhin	2816	1178	41.83238636
70	Rhône	4557	955	20.9567698
71	Haute-Saône	164	27	16.46341463
72	Saône-et-Loire	1393	386	27.70997846
73	Sarthe	830	103	12.40963855
74	Savoie	3442	1208	35.09587449
75	Haute-Savoie	4387	1362	31.04627308
76	Paris	36065	24394	67.63898517
77	Seine-Maritime	2320	502	21.63793103
78	Seine-et-Marne	9322	5356	57.45548166
79	Yvelines	2592	906	34.9537037
80	Deux-Sèvres	433	38	8.775981524
81	Somme	880	220	25
82	Tarn	441	51	11.56462585
83	Tarn-et-Garonne	302	28	9.271523179
84	Var	3513	1040	29.60432679
85	Vaucluse	2278	875	38.41088674
86	Vendée	1216	86	7.072368421
87	Vienne	1591	180	11.31363922
88	Haute-Vienne	632	80	12.65822785
89	Vosges	832	175	21.03365385
90	Yonne	727	170	23.38376891
91	Territoire de Belfort	253	52	20.55335968
29	Corse-du-Sud	1659	398	23.99035564
92	Essonne	2191	769	35.09812871
93	Hauts-de-Seine	5440	2460	45.22058824
94	Seine-Saint-Denis	4413	1646	37.29888964
95	Val-de-Marne	3097	1276	41.20116242
96	Val-d'Oise	3619	1507	41.64133739
97	Guadeloupe	951	127	13.35436383
98	Martinique	1188	268	22.55892256
99	Guyane	322	84	26.08695652
100	La Réunion	923	134	14.51787649
